,video_id,video_name,channel_name,duration,views,category
0,KNfOR8sSiGU,CM Punk makes his surprise debut on WWE Backstage | WWE BACKSTAGE | WWE ON FOX,WWE on FOX,1.0,4352851.0,Sports
1,CNd9NDSyp0g,كاج - واحد و عشرين |  Kaj - 21 (Video Teaser) 2019,Kaj . كاج,0.0,290673.0,Music
2,OtYQ3MCiIqk,تحدي التشويت من نص الملعب !!  | تحديات فارس,Fares Alhumaid - فارس الحميد,6.0,785971.0,Sports
3,t05fgsiMxsw,أغرب المنتجات اللي ممكن تشتريها من الإنترنت 📦! S2E3,oPiiLz,17.0,1724698.0,Entertainment
4,jl0JsqkkXS0,ردة فعلنا على فيديو حنون واهي صغيرة - عائلة عدنان,Bjlife,14.0,454499.0,People & Blogs
5,NOXA66VjYSM,حفلة ميلاد ريما عشان الخساير لكن ...,عصابة بدر Badr_Family,15.0,892662.0,People & Blogs
6,OIrHqmPuJpk,تحدي كشف الكذب | عشت قصة حب من قبل؟,Noor Stars,11.0,2285506.0,People & Blogs
7,zmFUgAtB51s,البث المباشر للحفل الختامي - تحدي القراءة العربي 2019,تحدي القراءة العربي Arab Reading,1.0,526440.0,Education
8,axUCZSdHWvU,اشخاص مسوين اشياء مجنونه | راح تعرق بسببهم !!!!,Yousef Ahmed,10.0,240490.0,Entertainment
9,S5WAQt3bAog,يوم في محل الألعاب🧸,يوميات سعود | Saud Diary,10.0,850694.0,People & Blogs
10,vcR4xosOfSE,Pakistan bowlers fire as Aussies crumble in Perth,cricket.com.au,5.0,4970484.0,Sports
11,hO_HPFw8hcI,غضب كريستيانو رونالدو من ساري,سيلفي سبورت,1.0,144122.0,Sports
12,N04oI2MsP-E,الهدية اللي كانت تنتظرها 😍,Nanoosh771 ll نانووش,14.0,409448.0,Entertainment
13,aa2yIdSksck,فلوق غرفة عادل و بوبو للالعاب - الجزء الثاني😍 - فريق عدنان,فريق عدنان,13.0,607829.0,People & Blogs
14,orkn0KuBFQI,دخلت مباراة الهلال متنكر وهذا اللي صار 🦸🏻‍♂️,Thunayyan Khalid,11.0,615459.0,People & Blogs
15,5to980XceD4,HIGHLIGHTS | KSI vs. Logan Paul 2,DAZN USA,6.0,14483434.0,Sports
16,29OWtpCmiUs,"Lana claims she is pregnant with Rusev’s baby: Raw, Nov. 11, 2019",WWE,5.0,2583498.0,Sports
17,W6XZsSQcyTQ,تحدي الصندوق الغامض بالميلك شيك 🤤😍 MYSTERY BOX OF MILKSHAKE CHALLENGE,شبكة العاب العرب | Arab Games Network,16.0,1294923.0,Entertainment
18,E-IlYJUt-M4,شفنا كيف رح يطلع شكل البيبي || طلع توأم !! النتيجة صدمتنا,Siamand & Shahad,16.0,1484925.0,Entertainment
19,ZBg18E1HwOM,وش يصير لو كفر دعس على مسامير ؟! #ناز_رياكشن,Naz | ناز,10.0,880694.0,People & Blogs
20,QIPy2CRmfxg,أقوى تحديات ضد صبري!! | صدمني بمستواه😍🔥,بشار عربي - bashar arabi,10.0,475818.0,Sports
21,-jphIgJ7B00,أقصر رجل في العالم !! World's Shortest Man,Joe HaTTab,8.0,851032.0,People & Blogs
22,s-ZEHOeFgeE,فيديو بائعة العسل السعودية يثير ضجة على وسائل التواصل,BBC News عربي,2.0,2964223.0,News & Politics
23,qbAxGUjnNyE,ليش مشيع يخبي زوجتو وكم يطلع فلوس في اليوتيوب؟,anasala family I أنس و أصالة,13.0,2575512.0,Entertainment
24,5obgR_BxDrQ,اول مرة نجرب التنويم المغناطيسي | عبدالعزيز نام قدام الكاميرا😴,TheSaudiReporters | سعودي ريبورترز,14.0,1017102.0,Entertainment
25,pM-hUFOEu98,هذا هو أفضل مدرب في العالم ! وهل حسم الهلال اللقب القاري ؟,beIN SPORTS,8.0,677662.0,Sports
26,JrYruZ1sfbw,ما أدري ايش صار على الغداء😂,قناة سعود Saud Channel l,11.0,1077936.0,Entertainment
27,tRBt9AvYBmA,مفاجأتهم بأكبر ديناصور متحرك بالبيت!,mmoshaya,10.0,3363610.0,Entertainment
28,SU9kHvHNg3w,My Final Message to KSI,Logan Paul,4.0,5756303.0,Entertainment
29,9AzWa1ExpBI,ESSA - EL MUNDO | الموندو,EM - عيسى المرزوق,2.0,1131826.0,Music
30,b9u7uj9X2mE,اقوى مطاعم في نيويورك -جربنا حلال جايز!! | Best restaurants in New York,Lift and Cheat,13.0,712735.0,Entertainment
31,NSW2EAFRzEg,اسألني من أغلى رحلة طيران في حياتي😍✈️ !! (( الاحراج في السماء 🤣 )) !! فلوق || Q&A Vlog,Haman391,18.0,574383.0,Travel & Events
32,MqXMUW6yAas,10 People Who Beat the System 😂💔 اشخاص كسروا النظام بطريقة راح تصدمك #2,توبز TOPZ,10.0,691379.0,Entertainment
33,snuOinpmLlg,أوصخ وأقذر غدرة ممكن تشوفها !! 🔪🤣 (مع شونق بونق وناصر وسعد) 🔥 | اونو,C7GAMING - خشب,11.0,268352.0,Gaming
34,Ym-yPQ4_z3I,مصفف الشعر ضد مصففة الشعر | من أفضل؟ 👨🏻👩🏻,Ayatee,11.0,1063955.0,Howto & Style
35,NYoNo-lObh4,ابوي كان زعلان يوم شاف السياره شوفوا وش قال !!,انيينكم | ANINNKM,18.0,1112276.0,People & Blogs
36,U5u8TcGTTGw,أنا و قلبي  |  حب ام صداقة ؟ |  الحلقة  69 | #يوسف_المحمد | Me & My Heart | Love or Friendship | E69,Yousef Al Mohammad l يوسف المحمد,19.0,432237.0,Entertainment
37,8F8oujJgiYI,فتحنا حصالة عمرها 3 سنوات |  نصها لي ونصها لكم 😭🎊 !!,دستور DSTOR I,10.0,1480021.0,Entertainment
38,dI62YF2va54,برنامج قلبي اطمأن | الموسم الإكسترا | الحلقة 2 | طالب علم,Qalby Etmaan - قلبي اطمأن,8.0,480461.0,Nonprofits & Activism
39,9S1p9ui_bBc,Dyler - Kan Yama Kan (Behind the Scenes) (دايلر - كان يا مكان ( خلف الكواليس | قريبا ٢٨ نوفمير,Dyler | دايلر,7.0,484666.0,Music
