,video_id,video_name,channel_name,duration,views,category
0,jl0JsqkkXS0,ردة فعلنا على فيديو حنون واهي صغيرة - عائلة عدنان,Bjlife,14.0,454499.0,People & Blogs
1,t05fgsiMxsw,أغرب المنتجات اللي ممكن تشتريها من الإنترنت 📦! S2E3,oPiiLz,17.0,1724698.0,Entertainment
2,OtYQ3MCiIqk,تحدي التشويت من نص الملعب !!  | تحديات فارس,Fares Alhumaid - فارس الحميد,6.0,684301.0,Sports
3,NOXA66VjYSM,حفلة ميلاد ريما عشان الخساير لكن ...,عصابة بدر Badr_Family,15.0,892662.0,People & Blogs
4,CNd9NDSyp0g,كاج - واحد و عشرين |  Kaj - 21 (Video Teaser) 2019,Kaj . كاج,0.0,290673.0,Music
5,s-ZEHOeFgeE,فيديو بائعة العسل السعودية يثير ضجة على وسائل التواصل,BBC News عربي,2.0,3113919.0,News & Politics
6,KNfOR8sSiGU,CM Punk makes his surprise debut on WWE Backstage | WWE BACKSTAGE | WWE ON FOX,WWE on FOX,1.0,4120379.0,Sports
7,vcR4xosOfSE,Pakistan bowlers fire as Aussies crumble in Perth,cricket.com.au,5.0,4970484.0,Sports
8,OIrHqmPuJpk,تحدي كشف الكذب | عشت قصة حب من قبل؟,Noor Stars,11.0,2285506.0,People & Blogs
9,okgAzqgRUxM,"مقدمة تاريخية من إبراهيم فايق عن فوز المنتخب الأوليمبي على غانا والتأهل لنصف النهائي ""لاعيبة رجالة""",TIME SPORTS,8.0,282956.0,Sports
10,3C2tG2eH9-k,الدحيح - الشاويش بطوط,AJ+ كبريت,16.0,891173.0,Entertainment
11,_uAcJOdwSrA,مقلب إبلاغ الشرطة في الشارع ! Prank 😳🤣,بيجر,13.0,218882.0,Comedy
12,N04oI2MsP-E,الهدية اللي كانت تنتظرها 😍,Nanoosh771 ll نانووش,14.0,385002.0,Entertainment
13,aa2yIdSksck,فلوق غرفة عادل و بوبو للالعاب - الجزء الثاني😍 - فريق عدنان,فريق عدنان,13.0,607829.0,People & Blogs
14,axUCZSdHWvU,اشخاص مسوين اشياء مجنونه | راح تعرق بسببهم !!!!,Yousef Ahmed,10.0,240490.0,Entertainment
15,atWunp-y49s,مسلسل بحر - شوف سالم إزاي قدر يوقع بحر في حب ياسمين وكمان كل اللي حصل لـ بحر,AlHayah TV Network,8.0,222913.0,Entertainment
16,nxY4al-09oc,مشكلة جريزمان في برشلونة,سيلفي سبورت,1.0,94833.0,Sports
17,9AzWa1ExpBI,ESSA - EL MUNDO | الموندو,EM - عيسى المرزوق,2.0,1131826.0,Music
18,th-oMsEZQpA,"لقاء خاص مع نجم وقائد منتخب مصر الأولمبي ""رمضان صبحي"" عقب الفوز على غانا الأولمبي",ON Sport 2,5.0,239621.0,Sports
19,QIPy2CRmfxg,أقوى تحديات ضد صبري!! | صدمني بمستواه😍🔥,بشار عربي - bashar arabi,10.0,467356.0,Sports
20,29OWtpCmiUs,"Lana claims she is pregnant with Rusev’s baby: Raw, Nov. 11, 2019",WWE,5.0,2471308.0,Sports
21,orkn0KuBFQI,دخلت مباراة الهلال متنكر وهذا اللي صار 🦸🏻‍♂️,Thunayyan Khalid,11.0,598031.0,People & Blogs
22,ziW1WISywxE,صاحبة السعادة - شوف رد فعل ياسمين صبري بعد ماكلت فول وطعمية وكشري.. فقرة الأكل مع إسعاد يونس,dmc,19.0,1718826.0,News & Politics
23,S5WAQt3bAog,يوم في محل الألعاب🧸,يوميات سعود | Saud Diary,10.0,819433.0,People & Blogs
24,3cilFloKTSA,الدكش يكشف رد فعل مصطفى محمد بعد تغييره وموقف رمضان صبحي المضحك,دوت مصر,5.0,249416.0,News & Politics
25,5to980XceD4,HIGHLIGHTS | KSI vs. Logan Paul 2,DAZN USA,6.0,14483434.0,Sports
26,NdviLqijUFw,Jake Paul CRIES backstage AFTER Logan Paul Loses to KSI,Jake Paul,13.0,3807268.0,People & Blogs
27,7j3TASekq9E,كلبش 3 | رغم إنه مشهد جد بس أحمد العوضي هيموتك من الضحك 😂😂,CBCDrama,6.0,1211839.0,Entertainment
28,ZBg18E1HwOM,وش يصير لو كفر دعس على مسامير ؟! #ناز_رياكشن,Naz | ناز,10.0,762723.0,People & Blogs
29,qE29bIC63q8,أقوى إختراع جديد من هواوي !,Omardizer | عمرديزر,11.0,158841.0,Science & Technology
30,pM-hUFOEu98,هذا هو أفضل مدرب في العالم ! وهل حسم الهلال اللقب القاري ؟,beIN SPORTS,8.0,627340.0,Sports
31,5obgR_BxDrQ,اول مرة نجرب التنويم المغناطيسي | عبدالعزيز نام قدام الكاميرا😴,TheSaudiReporters | سعودي ريبورترز,14.0,1017102.0,Entertainment
32,E-IlYJUt-M4,شفنا كيف رح يطلع شكل البيبي || طلع توأم !! النتيجة صدمتنا,Siamand & Shahad,16.0,1252578.0,Entertainment
33,mJClt_bOO0M,حكايا باب الحارة  - أبو بشير يعتذر من أبو عصام ويطلب إيد جميلة ! تاج حيدر  و عباس النوري,Aj Art Production - عاج للانتاج الفني,10.0,338237.0,Entertainment
34,W6XZsSQcyTQ,تحدي الصندوق الغامض بالميلك شيك 🤤😍 MYSTERY BOX OF MILKSHAKE CHALLENGE,شبكة العاب العرب | Arab Games Network,16.0,832730.0,Entertainment
35,qbAxGUjnNyE,ليش مشيع يخبي زوجتو وكم يطلع فلوس في اليوتيوب؟,anasala family I أنس و أصالة,13.0,2575512.0,Entertainment
36,810Zv0J5VwI,عملها ليفربول و حلق للمدرب القرع .عودة ابو صلاح,Mostafa Elbanna,3.0,381736.0,Comedy
37,6q9GuvoZueE,[BANGTAN BOMB] V dances ‘MIC Drop’ @ BTS POP-UP : HOUSE OF BTS - BTS (방탄소년단),BANGTANTV,1.0,1783933.0,Music
38,-jphIgJ7B00,أقصر رجل في العالم !! World's Shortest Man,Joe HaTTab,8.0,604466.0,People & Blogs
39,LfzgUnnbjXU,ليفربول يتفوق على سيتي بثلاثية.. هل ظلم الحكم مانشستر سيتي؟!🤔,ElKaweer - الكوير,10.0,138666.0,Sports
40,gV2liSKCga4,مدحت شلبي عن مباراة مصر وغانا : ملحمة كروية ومباراة درامية .. ورسالة خاصة لشوقي غريب,القاهرة والناس,5.0,70188.0,People & Blogs
41,JrYruZ1sfbw,ما أدري ايش صار على الغداء😂,قناة سعود Saud Channel l,11.0,1077936.0,Entertainment
42,tRBt9AvYBmA,مفاجأتهم بأكبر ديناصور متحرك بالبيت!,mmoshaya,10.0,3363610.0,Entertainment
43,eoav3Q6gPmU,هل يرحل رونالدو من اليوفي .. كلوب و الحكم يوقعوا السيتي,Erza3 - ارزع,25.0,118018.0,Sports
