,video_id,video_name,channel_name,duration,views,category
0,zmFUgAtB51s,البث المباشر للحفل الختامي - تحدي القراءة العربي 2019,تحدي القراءة العربي Arab Reading,1.0,526440.0,Education
1,NOXA66VjYSM,حفلة ميلاد ريما عشان الخساير لكن ...,عصابة بدر Badr_Family,15.0,892662.0,People & Blogs
2,t05fgsiMxsw,أغرب المنتجات اللي ممكن تشتريها من الإنترنت 📦! S2E3,oPiiLz,17.0,1724698.0,Entertainment
3,s-ZEHOeFgeE,فيديو بائعة العسل السعودية يثير ضجة على وسائل التواصل,BBC News عربي,2.0,3113919.0,News & Politics
4,OtYQ3MCiIqk,تحدي التشويت من نص الملعب !!  | تحديات فارس,Fares Alhumaid - فارس الحميد,6.0,684301.0,Sports
5,OIrHqmPuJpk,تحدي كشف الكذب | عشت قصة حب من قبل؟,Noor Stars,11.0,2285506.0,People & Blogs
6,CNd9NDSyp0g,كاج - واحد و عشرين |  Kaj - 21 (Video Teaser) 2019,Kaj . كاج,0.0,290675.0,Music
7,KNfOR8sSiGU,CM Punk makes his surprise debut on WWE Backstage | WWE BACKSTAGE | WWE ON FOX,WWE on FOX,1.0,4120379.0,Sports
8,jl0JsqkkXS0,ردة فعلنا على فيديو حنون واهي صغيرة - عائلة عدنان,Bjlife,14.0,454499.0,People & Blogs
9,_uAcJOdwSrA,مقلب إبلاغ الشرطة في الشارع ! Prank 😳🤣,بيجر,13.0,227663.0,Comedy
10,S5WAQt3bAog,يوم في محل الألعاب🧸,يوميات سعود | Saud Diary,10.0,850694.0,People & Blogs
11,vcR4xosOfSE,Pakistan bowlers fire as Aussies crumble in Perth,cricket.com.au,5.0,4970484.0,Sports
12,FGIDIdj7mmY,لعبة غريبة !,HANI AND ANOUD عنود وهاني,20.0,268315.0,Entertainment
13,axUCZSdHWvU,اشخاص مسوين اشياء مجنونه | راح تعرق بسببهم !!!!,Yousef Ahmed,10.0,240490.0,Entertainment
14,BynPD7KK1TU,تحدي الحروف مع وسام | أول مرة بيطلع وسام عقناتي,Yaso Ticket,11.0,906925.0,Howto & Style
15,E-IlYJUt-M4,شفنا كيف رح يطلع شكل البيبي || طلع توأم !! النتيجة صدمتنا,Siamand & Shahad,16.0,1484925.0,Entertainment
16,nxY4al-09oc,مشكلة جريزمان في برشلونة,سيلفي سبورت,1.0,94833.0,Sports
17,N04oI2MsP-E,الهدية اللي كانت تنتظرها 😍,Nanoosh771 ll نانووش,14.0,385002.0,Entertainment
18,mJClt_bOO0M,حكايا باب الحارة  - أبو بشير يعتذر من أبو عصام ويطلب إيد جميلة ! تاج حيدر  و عباس النوري,Aj Art Production - عاج للانتاج الفني,10.0,506366.0,Entertainment
19,YEqV1uiLrvI,"زيارتي لوالدي في ألمستشفى🤒
مريض مدلل يأكل بقلاوه😄😄",براء ام اموني,12.0,206133.0,People & Blogs
20,QIPy2CRmfxg,أقوى تحديات ضد صبري!! | صدمني بمستواه😍🔥,بشار عربي - bashar arabi,10.0,475818.0,Sports
21,3GbwBnv38UQ,نجمة مواقع التواصل الاجتماعي الطفلة رنيم محمد في ضيافة ساعة شباب,ساعة شباب,11.0,1189999.0,People & Blogs
22,orkn0KuBFQI,دخلت مباراة الهلال متنكر وهذا اللي صار 🦸🏻‍♂️,Thunayyan Khalid,11.0,576156.0,People & Blogs
23,aa2yIdSksck,فلوق غرفة عادل و بوبو للالعاب - الجزء الثاني😍 - فريق عدنان,فريق عدنان,13.0,588360.0,People & Blogs
24,W6XZsSQcyTQ,تحدي الصندوق الغامض بالميلك شيك 🤤😍 MYSTERY BOX OF MILKSHAKE CHALLENGE,شبكة العاب العرب | Arab Games Network,16.0,1294923.0,Entertainment
25,pM-hUFOEu98,هذا هو أفضل مدرب في العالم ! وهل حسم الهلال اللقب القاري ؟,beIN SPORTS,8.0,677662.0,Sports
26,3C2tG2eH9-k,الدحيح - الشاويش بطوط,AJ+ كبريت,16.0,823494.0,Entertainment
27,OBo8OEJsslY,باب الحارة  - عم تقلي اخرس وسد حلقك بصرماي عتيقة يا أبو شهاب ؟ - سامر المصري وزهير رمضان,سامر المصري القناة الرسمية Samer Al Masri,3.0,1997570.0,Entertainment
